"zip","city","county","pop"
"39327","Decatur","Newton","4044"
"39175","Utica","Hinds","4009"
"39362","State Line","Greene","3994"
"39360","Shubuta","Clarke","3993"
"39338","Louin","Jasper","3954"
"38941","Itta Bena","Leflore","3922"
"39189","Walnut Grove","Leake","3915"
"39041","Bolton","Hinds","3889"
"38963","Tutwiler","Tallahatchie","3858"
"39459","Moselle","Jones","3816"
"38677","University","Lafayette","3799"
"39735","Ackerman","Choctaw","3794"
"39063","Durant","Holmes","3790"
"38738","Parchman","Sunflower","3765"
"39094","Lena","Leake","3714"
"39044","Braxton","Simpson","3604"
"38827","Belmont","Tishomingo","3551"
"38847","Golden","Itawamba","3519"
"39638","Gloster","Amite","3451"
"39631","Centreville","Wilkinson","3442"
"38620","Courtland","Panola","3416"
"38841","Ecru","Pontotoc","3411"
"38915","Bruce","Calhoun","3404"
"38610","Blue Mountain","Tippah","3324"
"38773","Shaw","Bolivar","3269"
"38664","Robinsonville","Tunica","3221"
"39040","Bentonia","Yazoo","3209"
"39480","Soso","Jones","3201"
"39159","Rolling Fork","Sharkey","3133"
"39116","Mize","Smith","3126"
"38748","Hollandale","Washington","3071"
"38737","Drew","Sunflower","3064"
"39092","Lake","Scott","3059"
"38922","Coffeeville","Yalobusha","3037"
"38665","Sarah","Panola","2998"
"38917","Carrollton","Carroll","2993"
"39160","Sallis","Attala","2989"
"39354","Preston","Kemper","2988"
"39421","Bassfield","Jefferson Davis","2985"
"38771","Ruleville","Sunflower","2980"
"38646","Marks","Quitman","2959"
"39153","Raleigh","Smith","2935"
"38659","Potts Camp","Marshall","2895"
"39464","Ovett","Perry","2887"
"38873","Tishomingo","Tishomingo","2876"
"39169","Tchula","Holmes","2846"
"39423","Beaumont","Perry","2832"
"39146","Pickens","Holmes","2779"
"39425","Brooklyn","Forrest","2756"
"39364","Toomsuba","Lauderdale","2743"
"39762","Mississippi State","Oktibbeha","2730"
"38658","Pope","Panola","2724"
"38603","Ashland","Benton","2715"
"39661","Roxie","Franklin","2713"
"38878","Vardaman","Calhoun","2712"
"39766","Steens","Lowndes","2692"
"38633","Hickory Flat","Benton","2649"
"38642","Lamar","Marshall","2626"
"39534","Biloxi","Harrison","2618"
"39176","Vaiden","Carroll","2592"
"39752","Mathiston","Webster","2568"
"38850","Houlka","Chickasaw","2536"
"39750","Maben","Webster","2525"
"38862","Plantersville","Lee","2517"
"39739","Brooksville","Noxubee","2513"
"39330","Enterprise","Clarke","2450"
"39663","Silver Creek","Lawrence","2424"
"39057","Conehatta","Newton","2403"
"39140","Newhebron","Lawrence","2364"
"38948","Oakland","Yalobusha","2361"
"38925","Duck Hill","Montgomery","2357"
"39746","Hamilton","Monroe","2353"
"39096","Lorman","Jefferson","2346"
"38762","Mound Bayou","Bolivar","2337"
"38870","Smithville","Monroe","2328"
"39320","Bailey","Lauderdale","2308"
"39653","Meadville","Franklin","2304"
"38833","Burnsville","Tishomingo","2297"
"38761","Moorhead","Sunflower","2286"
"38856","Marietta","Prentiss","2254"
"38864","Randolph","Pontotoc","2221"
"38641","Lake Cormorant","De Soto","2203"
"39335","Lauderdale","Lauderdale","2179"
"39039","Benton","Yazoo","2108"
"39332","Hickory","Newton","2107"
"38621","Crenshaw","Panola","2107"
"39322","Buckatunna","Wayne","2054"
"39756","Prairie","Monroe","1997"
"39665","Sontag","Lawrence","1985"
"38846","Glen","Alcorn","1972"
"38730","Boyle","Bolivar","1968"
"39478","Sandy Hook","Marion","1961"
"38769","Rosedale","Bolivar","1946"
"39664","Smithdale","Amite","1909"
"39192","West","Holmes","1895"
"39743","Crawford","Lowndes","1893"
"38929","Gore Springs","Grenada","1872"
"38601","Abbeville","Lafayette","1857"
"39346","Noxapater","Winston","1829"
"39045","Camden","Madison","1825"
"38774","Shelby","Bolivar","1804"
"39741","Cedarbluff","Clay","1789"
"38871","Thaxton","Pontotoc","1781"
"38629","Falkner","Tippah","1752"
"39481","Stringer","Jasper","1746"
"38661","Red Banks","Marshall","1740"
"39342","Marion","Lauderdale","1738"
"39406","Hattiesburg","Forrest","1727"
"39079","Goodman","Holmes","1720"
"39337","Little Rock","Newton","1714"
"39772","Weir","Choctaw","1700"
"38940","Holcomb","Grenada","1676"
"39086","Hermanville","Claiborne","1638"
"38625","Dumas","Tippah","1617"
"39657","Osyka","Pike","1601"
"38627","Etta","Union","1600"
"38643","Lambert","Quitman","1596"
"39108","Mc Cool","Attala","1492"
"39561","Mc Henry","Stone","1486"
"39363","Stonewall","Clarke","1468"
"38645","Lyon","Coahoma","1446"
"38876","Tremont","Itawamba","1442"
"39747","Kilmichael","Montgomery","1426"
"39751","Mantee","Calhoun","1425"
"38631","Friars Point","Coahoma","1415"
"39427","Carson","Jefferson Davis","1404"
"39347","Pachuta","Clarke","1402"
"39361","Shuqualak","Noxubee","1356"
"39358","Scooba","Kemper","1335"
"39776","Woodland","Chickasaw","1278"
"38759","Merigold","Bolivar","1271"
"39769","Sturgis","Oktibbeha","1252"
"38754","Isola","Humphreys","1250"
"38838","Dennis","Tishomingo","1246"
"39217","Jackson","Hinds","1238"
"39662","Ruth","Lincoln","1237"
"38673","Taylor","Lafayette","1234"
"38778","Sunflower","Sunflower","1219"
"39149","Pinola","Simpson","1211"
"38927","Enid","Tallahatchie","1186"
"39082","Harrisville","Simpson","1184"
"39067","Ethel","Attala","1166"
"38753","Inverness","Sunflower","1157"
"39633","Crosby","Amite","1149"
"38954","Sidon","Carroll","1137"
"38951","Pittsboro","Calhoun","1128"
"39668","Union Church","Jefferson","1121"
"39336","Lawrence","Newton","1113"
"39323","Chunky","Newton","1110"
"38685","Waterford","Lafayette","1106"
"39630","Bude","Franklin","1101"
"38674","Tiplersville","Tippah","1070"
"39152","Pulaski","Scott","1059"
"39643","Kokomo","Marion","1057"
"38725","Benoit","Bolivar","1033"
"39462","New Augusta","Perry","982"
"39572","Pearlington","Hancock","973"
"39193","Whitfield","Rankin","960"
"38639","Jonestown","Coahoma","957"
"38760","Metcalfe","Washington","951"
"39767","Stewart","Montgomery","942"
"39201","Jackson","Hinds","918"
"38626","Dundee","Tunica","906"
"38721","Anguilla","Sharkey","891"
"38879","Verona","Lee","888"
"38914","Big Creek","Calhoun","880"
"39366","Vossburg","Jasper","879"
"38670","Sledge","Tunica","860"
"39179","Vaughan","Yazoo","853"
"39647","Mc Call Creek","Franklin","811"
"38622","Crowder","Quitman","810"
"39174","Tougaloo","Hinds","808"
"39144","Pattison","Claiborne","787"
"39755","Pheba","Clay","755"
"38859","New Site","Prentiss","747"
"38966","Webb","Tallahatchie","733"
"38720","Alligator","Bolivar","732"
"39166","Silver City","Humphreys","705"
